"ResponseId","targetID","ownRating","age","gender","issue","issue_pos","StartDate","EndDate","political","policing_att","assault_att","target","otherRating"
"R_12S7RagheTp0JiV","R_1dfXetQbI5Jem91",6.27777777777778,36,2,"sa",3,"2019-05-10 12:55:20","2019-05-10 12:59:53",1,1,3,1,6.38888888888889
"R_12S7RagheTp0JiV","R_22WSrEVgAgUhoG9",5.16666666666667,36,2,"sa",3,"2019-05-10 12:55:20","2019-05-10 12:59:53",1,1,3,2,4.88888888888889
"R_12xm4rMVQYP7PPS","R_3nJaEAZzaOUgN8p",5.38888888888889,58,2,"sa",7,"2019-05-09 08:10:25","2019-05-09 08:19:10",6,5,7,1,5.5
"R_12xm4rMVQYP7PPS","R_aWWaRPf9JqN3dId",4.72222222222222,58,2,"sa",7,"2019-05-09 08:10:25","2019-05-09 08:19:10",6,5,7,2,4.85185185185185
"R_1BPip1cnejYj7Ea","R_1QLyccetlkJkKVZ",4.38888888888889,69,2,"sa",3,"2019-05-10 18:09:49","2019-05-10 18:22:51",2,3,3,1,5.03703703703704
"R_1BPip1cnejYj7Ea","R_2V8CsNFaYnbj7Xx",6.11111111111111,69,2,"sa",3,"2019-05-10 18:09:49","2019-05-10 18:22:51",2,3,3,2,5.96296296296296
"R_1BXG8jedy8DRRk1","R_2qrrM8FoucPQInL",6.72222222222222,22,1,"sa",3,"2019-05-09 08:10:12","2019-05-09 08:19:08",3,4,3,1,5.87037037037037
"R_1BXG8jedy8DRRk1","R_3p9KgaWVuVe1llp",6.44444444444444,22,1,"sa",3,"2019-05-09 08:10:12","2019-05-09 08:19:08",3,4,3,2,5.24074074074074
"R_1C1Lwv6DiqapR80","R_1nNQoavPSmjIWQT",5,35,1,"blm",5,"2019-05-09 08:04:52","2019-05-09 08:13:57",5,5,1,1,4.63888888888889
"R_1C1Lwv6DiqapR80","R_3oz5nWJQm4G9QNk",5.11111111111111,35,1,"blm",5,"2019-05-09 08:04:52","2019-05-09 08:13:57",5,5,1,2,4.51851851851852
"R_1C3E50IZhr5aGIE","R_1FErmDHO6WUIukn",5.33333333333333,28,1,"sa",1,"2019-05-10 12:54:12","2019-05-10 13:04:41",2,5,1,1,5.36111111111111
"R_1C3E50IZhr5aGIE","R_UVAIqc5HC4lR78J",5.16666666666667,28,1,"sa",1,"2019-05-10 12:54:12","2019-05-10 13:04:41",2,5,1,2,6.47222222222222
"R_1CCJrxs6Xuk0W8i","R_232ZZQuAz02hCex",3.72222222222222,39,2,"blm",2,"2019-05-09 08:03:50","2019-05-09 08:08:45",2,2,5,1,3.88888888888889
"R_1CCJrxs6Xuk0W8i","R_2aVtTVJHtD3gi14",4.38888888888889,39,2,"blm",2,"2019-05-09 08:03:50","2019-05-09 08:08:45",2,2,5,2,3.14444444444444
"R_1CcPJjObrEBFRpT","R_2fe9vO0CicuOaub",4.44444444444444,26,1,"sa",5,"2019-05-09 08:20:49","2019-05-09 08:29:25",7,4,5,1,3.86111111111111
"R_1CcPJjObrEBFRpT","R_Rsg27BbvbGT1QOd",3.66666666666667,26,1,"sa",5,"2019-05-09 08:20:49","2019-05-09 08:29:25",7,4,5,2,4.64444444444444
"R_1CE0R5tusM8I1fq","R_3JCteslwxT9UgcR",3.83333333333333,35,1,"sa",5,"2019-05-09 08:27:32","2019-05-09 08:34:20",3,3,5,1,4.61111111111111
"R_1CE0R5tusM8I1fq","R_uljWkCnLJlCwCWZ",4,35,1,"sa",5,"2019-05-09 08:27:32","2019-05-09 08:34:20",3,3,5,2,3.7037037037037
"R_1CfjaRfGZ23YC4O","R_1HowscSewQBydyj",5.55555555555556,45,1,"sa",1,"2019-05-10 15:46:18","2019-05-10 15:51:28",5,7,1,1,5.72222222222222
"R_1CfjaRfGZ23YC4O","R_1oALva3ngkNJbxe",5.55555555555556,45,1,"sa",1,"2019-05-10 15:46:18","2019-05-10 15:51:28",5,7,1,2,6.61111111111111
"R_1Cg4x9cA11OSN9k","R_1mEJ9OXFN3TTd2F",2.44444444444444,28,1,"sa",2,"2019-05-09 08:28:05","2019-05-09 08:35:02",5,6,2,1,2.11111111111111
"R_1Cg4x9cA11OSN9k","R_2aEm4i3kDQpaNQJ",3.38888888888889,28,1,"sa",2,"2019-05-09 08:28:05","2019-05-09 08:35:02",5,6,2,2,1.97222222222222
"R_1ClNCbG3QKPtkrU","R_1FrMHg3b67X24IC",3.22222222222222,37,2,"sa",6,"2019-05-09 09:28:48","2019-05-09 09:33:10",3,5,6,1,2.55555555555556
"R_1ClNCbG3QKPtkrU","R_2VCmKjr8vVVhrlO",2.88888888888889,37,2,"sa",6,"2019-05-09 09:28:48","2019-05-09 09:33:10",3,5,6,2,4.12222222222222
"R_1CmAfME9SZEbM3o","R_2xXffBoZFpOE4bG",6.27777777777778,28,1,"blm",6,"2019-05-10 16:32:23","2019-05-10 16:41:58",6,6,1,1,4.61111111111111
"R_1CmAfME9SZEbM3o","R_3oSkelHrVOIey8A",2.22222222222222,28,1,"blm",6,"2019-05-10 16:32:23","2019-05-10 16:41:58",6,6,1,2,3.66666666666667
"R_1Cxqh4TbetL7Vmc","R_2QKh6nbhGQycq72",3.61111111111111,32,1,"blm",2,"2019-05-09 08:53:41","2019-05-09 08:57:51",2,2,6,1,5.01111111111111
"R_1Cxqh4TbetL7Vmc","R_2VlNkrWZhpyiIow",3.72222222222222,32,1,"blm",2,"2019-05-09 08:53:41","2019-05-09 08:57:51",2,2,6,2,5.28888888888889
"R_1CxvTccPhuYmsbp","R_1gAX8U0t00AosKH",3.66666666666667,24,1,"blm",5,"2019-05-10 18:06:25","2019-05-10 18:19:40",3,5,6,1,3.69444444444444
"R_1CxvTccPhuYmsbp","R_egPHPvFH3fAfG2l",3.44444444444444,24,1,"blm",5,"2019-05-10 18:06:25","2019-05-10 18:19:40",3,5,6,2,5.13888888888889
"R_1CyIMV3bzeXZf9K","R_3nP2WnlJVocs9iz",2.55555555555556,37,2,"blm",2,"2019-05-09 08:39:26","2019-05-09 08:53:06",2,2,3,1,2.43518518518519
"R_1CyIMV3bzeXZf9K","R_bj8mwAHRNYKGYzD",3.44444444444444,37,2,"blm",2,"2019-05-09 08:39:26","2019-05-09 08:53:06",2,2,3,2,3.37962962962963
"R_1d0Je7jqezsxI7q","R_2uJqroar126H4l9",6.66666666666667,54,2,"sa",7,"2019-05-09 09:09:13","2019-05-09 09:15:11",3,1,7,1,5.41666666666667
"R_1d0Je7jqezsxI7q","R_ezatmOmD0ciwNTH",7,54,2,"sa",7,"2019-05-09 09:09:13","2019-05-09 09:15:11",3,1,7,2,4.8531746031746
"R_1d5JBexy15PsCtV","R_10w5Kq9JEKI922A",5,60,2,"blm",3,"2019-05-10 14:45:42","2019-05-10 15:02:59",3,3,7,1,5.75925925925926
"R_1d5JBexy15PsCtV","R_24xafjvY6Bx7rSZ",4.88888888888889,60,2,"blm",3,"2019-05-10 14:45:42","2019-05-10 15:02:59",3,3,7,2,4.85185185185185
"R_1dEqgNINcBg14Zh","R_10w5Kq9JEKI922A",5.61111111111111,34,2,"blm",3,"2019-05-10 13:20:00","2019-05-10 13:30:10",4,3,6,1,5.65740740740741
"R_1dEqgNINcBg14Zh","R_3rHyalYrQiDdymD",2.55555555555556,34,2,"blm",3,"2019-05-10 13:20:00","2019-05-10 13:30:10",4,3,6,2,4.91666666666667
"R_1dEucaOA8XvMRLT","R_0c5U50lYF4JTfq1",5.55555555555556,36,2,"blm",2,"2019-05-09 08:18:35","2019-05-09 08:22:30",2,2,4,1,5.66666666666667
"R_1dEucaOA8XvMRLT","R_2PmPIKuYwbGQfNT",3.61111111111111,36,2,"blm",2,"2019-05-09 08:18:35","2019-05-09 08:22:30",2,2,4,2,3.37962962962963
"R_1diyzXSLfO6SLPH","R_PCobUdQmpQesmlP",3.33333333333333,29,2,"blm",3,"2019-05-10 13:54:45","2019-05-10 14:00:37",7,3,5,1,2.54444444444444
"R_1diyzXSLfO6SLPH","R_z72FcmeZJYsB3XP",3.27777777777778,29,2,"blm",3,"2019-05-10 13:54:45","2019-05-10 14:00:37",7,3,5,2,4.56481481481481
"R_1dNrrmIkGOKHZqX","R_2Swb81A4p207Zcj",4.33333333333333,41,1,"sa",7,"2019-05-10 13:04:53","2019-05-10 13:13:02",2,1,7,1,3.64814814814815
"R_1dNrrmIkGOKHZqX","R_zZ3uJmWDpxvipZT",4.61111111111111,41,1,"sa",7,"2019-05-10 13:04:53","2019-05-10 13:13:02",2,1,7,2,4.94444444444444
"R_1dpoAzFH4FPF4Ai","R_12GrOqKjqa4P0vE",3.94444444444444,24,1,"blm",1,"2019-05-09 09:39:05","2019-05-09 09:45:56",1,1,6,1,4.3
"R_1dpoAzFH4FPF4Ai","R_2VlNkrWZhpyiIow",5.38888888888889,24,1,"blm",1,"2019-05-09 09:39:05","2019-05-09 09:45:56",1,1,6,2,4.95555555555556
"R_1DTt2OJhnFRXyNZ","R_2fxKQ6gMgCobHtx",2.83333333333333,30,1,"blm",6,"2019-05-09 09:07:53","2019-05-09 09:10:00",5,6,5,1,3.22222222222222
"R_1DTt2OJhnFRXyNZ","R_3HMot6JdDz5bmRA",2.88888888888889,30,1,"blm",6,"2019-05-09 09:07:53","2019-05-09 09:10:00",5,6,5,2,3.86111111111111
"R_1Du2IKHGN98261j","R_1rfats2jYRPGLAf",6.22222222222222,70,2,"sa",2,"2019-05-10 15:16:18","2019-05-10 15:24:33",6,3,2,1,6.55555555555556
"R_1Du2IKHGN98261j","R_3siQw1kJh6yqCko",6.44444444444444,70,2,"sa",2,"2019-05-10 15:16:18","2019-05-10 15:24:33",6,3,2,2,6.42592592592593
"R_1Du6A89C2S0Xkkq","R_2VlNkrWZhpyiIow",4.88888888888889,23,2,"blm",2,"2019-05-09 08:34:05","2019-05-09 08:51:14",2,2,2,1,5.05555555555556
"R_1Du6A89C2S0Xkkq","R_NUsDqA1BDpfUsnf",4.11111111111111,23,2,"blm",2,"2019-05-09 08:34:05","2019-05-09 08:51:14",2,2,2,2,4.16666666666667
"R_1DuPbSB0b32XAGh","R_3HXo6kk3wfA9sK7",5.77777777777778,25,2,"sa",3,"2019-05-09 09:06:14","2019-05-09 09:15:42",4,6,3,1,6.13888888888889
"R_1DuPbSB0b32XAGh","R_3M5zt94x6l9bwci",5.5,25,2,"sa",3,"2019-05-09 09:06:14","2019-05-09 09:15:42",4,6,3,2,5
"R_1dyO14Xe7TK2KPu","R_2az91tYDHXC6DNZ",3.33333333333333,32,2,"blm",2,"2019-05-09 09:58:25","2019-05-09 10:04:38",3,2,5,1,3.06481481481481
"R_1dyO14Xe7TK2KPu","R_3KxRb0Sh4cq9bmg",1.33333333333333,32,2,"blm",2,"2019-05-09 09:58:25","2019-05-09 10:04:38",3,2,5,2,2.87037037037037
"R_1dyuWoqCP7RogL0","R_3ql3fD7QvvP3QCm",5.88888888888889,46,1,"blm",3,"2019-05-09 08:58:05","2019-05-09 09:10:32",5,3,2,1,3.89814814814815
"R_1dyuWoqCP7RogL0","R_u2Mvvlc427cAbF7",6.66666666666667,46,1,"blm",3,"2019-05-09 08:58:05","2019-05-09 09:10:32",5,3,2,2,5.74074074074074
"R_1dzCHhUik03XHEs","R_2Xn9ZlafHqXnaQE",5.33333333333333,39,1,"blm",7,"2019-05-10 13:15:00","2019-05-10 13:26:26",5,7,1,1,5.18518518518519
"R_1dzCHhUik03XHEs","R_3m3RhSUOZcKKx9n",2.38888888888889,39,1,"blm",7,"2019-05-10 13:15:00","2019-05-10 13:26:26",5,7,1,2,2.55555555555556
"R_1E6QK9sLaMx1Q7R","R_2CHSNlG30uKXXE8",5.38888888888889,52,1,"sa",2,"2019-05-10 13:52:10","2019-05-10 14:02:39",1,1,2,1,4.16666666666667
"R_1E6QK9sLaMx1Q7R","R_XgNPDR2aJCeXUNr",3.27777777777778,52,1,"sa",2,"2019-05-10 13:52:10","2019-05-10 14:02:39",1,1,2,2,4.27777777777778
"R_1eJMiNy24Ezf8Km","R_2qr7aOS0Y8036zb",4,55,2,"sa",2,"2019-05-10 15:41:38","2019-05-10 15:52:46",5,7,2,1,5.18518518518519
"R_1eJMiNy24Ezf8Km","R_3e2Avdg5tVQcmCe",3.88888888888889,55,2,"sa",2,"2019-05-10 15:41:38","2019-05-10 15:52:46",5,7,2,2,4.37037037037037
